heuristic,size,density,path_length,nodes_expanded,time_sec
Euclidean,30x20,0.3,42,52,0.0008187294006347656
Euclidean,30x20,0.3,41,43,0.0007829666137695312
Euclidean,30x20,0.3,43,55,0.0009469985961914062
Euclidean,30x20,0.3,44,52,0.0007045269012451172
Euclidean,30x20,0.3,45,48,0.0009992122650146484
Euclidean,30x20,0.3,38,39,0.0008077621459960938
Euclidean,30x20,0.3,53,83,0.0012125968933105469
Euclidean,30x20,0.3,42,47,0.0007967948913574219
Euclidean,30x20,0.3,55,70,0.0012526512145996094
Euclidean,30x20,0.3,43,48,0.0007674694061279297
Euclidean,30x20,0.3,43,48,0.0013022422790527344
Euclidean,30x20,0.3,46,63,0.0009951591491699219
Euclidean,30x20,0.3,44,56,0.0011336803436279297
Diagonal,30x20,0.3,48,61,0.0007843971252441406
Diagonal,30x20,0.3,52,68,0.0012285709381103516
Diagonal,30x20,0.3,39,42,0.0010917186737060547
Diagonal,30x20,0.3,49,67,0.0007960796356201172
Diagonal,30x20,0.3,47,49,0.0017466545104980469
Diagonal,30x20,0.3,44,62,0.0015549659729003906
Diagonal,30x20,0.3,61,101,0.002099275588989258
Diagonal,30x20,0.3,42,54,0.0012080669403076172
Diagonal,30x20,0.3,49,58,0.0007870197296142578
Diagonal,30x20,0.3,43,65,0.0014185905456542969
Diagonal,30x20,0.3,49,65,0.0028162002563476562
Diagonal,30x20,0.3,48,66,0.0009717941284179688
Diagonal,30x20,0.3,51,67,0.0013401508331298828
Diagonal,30x20,0.3,51,64,0.0017695426940917969
Diagonal,30x20,0.3,49,61,0.0012841224670410156
Manhattan,30x20,0.4,51,107,0.0014920234680175781
Manhattan,30x20,0.4,63,83,0.0014662742614746094
Manhattan,30x20,0.4,48,53,0.0006389617919921875
Manhattan,30x20,0.4,46,56,0.0006093978881835938
Euclidean,30x20,0.4,54,92,0.0010068416595458984
Diagonal,30x20,0.4,52,117,0.0018351078033447266
